title,artist,date_acquired,gender_list,artist_gender
"Floor plan for the exhibition ""Bauhaus 1919-1928,"" The Museum of Modern Art, New York, December 7, 1938-January 30, 1939",Herbert Bayer,1986-10-07,(male),Male
Wall Hanging,Gunta Stölzl,1958-02-19,(female),Female
Tea Glass with Saucer and Stirrer,Josef Albers,1957-05-15,(male),Male
Bull in the Sun Rug,Arshile Gorky,1956-04-04,(male),Male
Sussex Corner Chair,Ford Madox Brown,2000-06-30,(male),Male
Rabbit Pattern Printed Fabric (no. 23583),William Morris,1942-01-01,(male),Male
"Exposition, Galerie Maeght",Georges Braque,1960-04-06,(male),Male
"Picasso, ""Les Menines,"" Galerie Louise Leiris",Pablo Picasso,1960-04-06,(male),Male
Ballets U.S.A,Ben Shahn,1960-04-06,(male),Male
The Echo - For Sale Here,John Sloan,1960-04-06,(male),Male
Ballet poster,André Masson,1947-03-13,(male),Male
"Ask the Women and Children Whom Hitler is Starving Whether Rationing Is Too Great a ""Sacrifice""",Käthe Kollwitz,1944-05-02,(female),Female
"Avenue Theater, A Comedy of Sighs!",Aubrey Beardsley,1968-03-07,(male),Male
Perrier,Andy Warhol,1986-05-16,(male),Male
Christ Helping the Starving Children (Christus hilft der hungernden Kindern),Oskar Kokoschka,1946-05-07,(male),Male
"J. Dubutfet, Ustensiles, Demeures Escaliers, Galerie Jeanne Bucher, Juin, Juillet, 1967",Jean Dubuffet,1968-03-07,(male),Male
"Robert Indiana, New Art, Stable New York",Robert Indiana,1968-03-07,(male),Male
"Chagall, Kunsthaus Zürich, Dezember 1950-Januar 1951",Marc Chagall,1952-05-20,(male),Male
"Echecs, Championnat de France 1925",Marcel Duchamp,1952-05-20,(male),Male
"Arp, Max Ernst, A. Giacometti, Miro, Gonzalez",Max Ernst,1952-05-20,(male),Male
"Galerie Maeght, Peintures, Murales, Miró",Joan Miró,1968-03-07,(male),Male
Œuvres d'Amérique 1940 - 1945,Fernand Léger,1952-05-20,(male),Male
